PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,<init>,756,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,addObject,816,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,addObject,818,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,addObject,820,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,borrowObject,771,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,borrowObject,769,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,borrowObject,773,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,clear,858,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,clear,860,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,clear,862,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,close,872,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,close,874,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,close,878,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getNumActive,846,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,getNumActive,844,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,getNumActive,848,TIMED_OUT,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getNumIdle,832,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,getNumIdle,830,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,getNumIdle,834,TIMED_OUT,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,invalidateObject,799,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,invalidateObject,801,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,invalidateObject,805,SURVIVED,none
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,returnObject,783,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,returnObject,785,KILLED,org.apache.commons.pool2.TestPoolUtils.testSynchronizedPoolObjectPool(org.apache.commons.pool2.TestPoolUtils)
PoolUtils.java,org.apache.commons.pool2.PoolUtils$SynchronizedObjectPool,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,returnObject,789,SURVIVED,none
BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool$IdentityWrapper,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,1319,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testBaseInvalidateObject(org.apache.commons.pool2.impl.TestGenericObjectPool)
BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool$IdentityWrapper,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,1320,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testBaseInvalidateObject(org.apache.commons.pool2.impl.TestGenericObjectPool)
BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool$IdentityWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,1319,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testBaseInvalidateObject(org.apache.commons.pool2.impl.TestGenericObjectPool)
BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool$IdentityWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,1319,TIMED_OUT,none
BaseGenericObjectPool.java,org.apache.commons.pool2.impl.BaseGenericObjectPool$IdentityWrapper,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,getObject,1327,NO_COVERAGE,none
DefaultEvictionPolicy.java,org.apache.commons.pool2.impl.DefaultEvictionPolicy,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,evict,46,KILLED,org.apache.commons.pool2.impl.TestGenericKeyedObjectPool.testEvictionOrder(org.apache.commons.pool2.impl.TestGenericKeyedObjectPool)
DefaultEvictionPolicy.java,org.apache.commons.pool2.impl.DefaultEvictionPolicy,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,evict,47,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testEvictLIFO(org.apache.commons.pool2.impl.TestGenericObjectPool)
DefaultEvictionPolicy.java,org.apache.commons.pool2.impl.DefaultEvictionPolicy,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,evict,48,KILLED,org.apache.commons.pool2.impl.TestGenericKeyedObjectPool.testEvictionOrder(org.apache.commons.pool2.impl.TestGenericKeyedObjectPool)
DefaultEvictionPolicy.java,org.apache.commons.pool2.impl.DefaultEvictionPolicy,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,evict,46,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testEvictorVisiting(org.apache.commons.pool2.impl.TestGenericObjectPool)
DefaultEvictionPolicy.java,org.apache.commons.pool2.impl.DefaultEvictionPolicy,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,evict,47,KILLED,org.apache.commons.pool2.impl.TestGenericObjectPool.testEvictLIFO(org.apache.commons.pool2.impl.TestGenericObjectPool)
CglibProxySource.java,org.apache.commons.pool2.proxy.CglibProxySource,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,createProxy,57,TIMED_OUT,none
