Kind,Name,AvgLineCode,Cyclomatic,PercentLackOfCohesionModified,PercentLackOfCohesion,SumCyclomatic,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,(Unnamed_Package),7,,,,13,2,2,2,1,9,0,1,,,,3,1,0,,3,,5,1,6,,0,0,0,6,,173,19,68,28,28,86,,,,29,44,24,20,,,,,7,7,7,3,,,2,,1.26,13,13,8
File,AbandonedConfig.java,3,,,,15,1,1,1,1,13,0,9,,,,1,0,0,15,,15,15,7,15,,0,0,0,15,,289,26,73,29,36,190,,,,40,56,28,28,,,,,1,1,1,1,,,0,,2.6,15,15,15
File,BaseGenericObjectPool.java,6,,,,111,1,1,1,1,14,0,7,,,,5,0,2,78,,82,82,41,82,,11,3,3,65,,1411,117,601,213,330,696,,,,318,431,182,249,,,,,8,8,9,3,,,3,,1.16,111,113,82
File,BaseKeyedPooledObjectFactory.java,3,,,,5,1,1,1,1,11,0,8,,,,1,0,0,5,,7,7,0,7,,0,0,0,7,,122,8,27,19,2,87,,,,5,11,9,2,,,,,1,1,1,1,,,0,,3.22,5,5,5
File,BaseObject.java,5,,,,2,1,1,1,1,8,0,3,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,45,3,14,6,6,28,,,,7,10,5,5,,,,,1,1,1,1,,,0,,2,2,2,2
File,BaseObjectPool.java,3,,,,9,1,1,1,1,8,0,5,,,,1,0,0,8,,11,11,1,11,,0,0,2,9,,126,13,43,23,11,70,,,,14,24,14,10,,,,,2,2,2,1,,,1,,1.63,9,9,8
File,BaseObjectPoolConfig.java,3,,,,37,1,1,1,1,13,0,9,,,,1,0,17,37,,37,37,18,37,,0,0,1,36,,750,75,192,86,103,484,,,,105,143,75,68,,,,,1,1,1,1,,,0,,2.52,37,37,37
File,BasePooledObjectFactory.java,2,,,,5,1,1,1,1,7,0,5,,,,1,0,0,5,,7,7,0,7,,0,0,0,7,,104,7,24,16,2,73,,,,5,11,9,2,,,,,1,1,1,1,,,0,,3.04,5,5,5
File,BaseProxyHandler.java,6,,,,8,1,1,1,1,12,0,6,,,,1,0,0,6,,6,6,2,6,,5,0,0,1,,121,16,44,16,22,61,,,,24,33,15,18,,,,,2,2,2,1,,,1,,1.39,8,8,6
File,BaseTestProxiedKeyedObjectPool.java,6,,,,10,1,1,1,1,8,1,0,,,,4,0,2,10,,13,13,2,13,,2,0,1,10,,164,45,100,53,42,19,,,,57,71,39,32,,,,,1,1,1,1,,,0,,0.19,10,10,10
File,BaseTestProxiedObjectPool.java,7,,,,11,1,1,1,1,9,2,0,,,,4,0,2,11,,14,14,3,14,,2,0,1,11,,199,55,122,63,58,22,,,,78,93,49,44,,,,,1,1,1,1,,,0,,0.18,11,11,11
File,CallStack.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,54,6,9,8,0,39,,,,7,8,8,0,,,,,0,0,0,0,,,0,,4.33,0,0,0
File,CallStackTest.java,5,,,,4,1,1,1,1,5,0,0,,,,1,1,0,4,,4,3,2,4,,0,0,0,4,,63,9,38,21,15,16,,,,21,26,17,9,,,,,1,1,1,1,,,0,,0.42,4,4,4
File,CallStackUtils.java,6,,,,7,1,1,2,1,12,0,6,,,,1,3,0,4,,4,1,0,4,,0,2,0,2,,83,6,29,11,12,48,,,,9,16,8,8,,,,,3,3,3,3,,,1,,1.66,7,8,6
File,CglibProxyHandler.java,3,,,,2,1,1,1,1,7,0,4,,,,1,0,0,2,,2,2,0,2,,1,0,0,1,,54,7,16,11,2,31,,,,7,10,8,2,,,,,1,1,1,1,,,0,,1.94,2,2,2
File,CglibProxySource.java,7,,,,4,1,1,1,1,10,0,2,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,82,12,39,25,15,31,,,,20,25,16,9,,,,,1,1,1,1,,,0,,0.79,4,4,4
File,DefaultEvictionPolicy.java,9,,,,2,2,2,4,1,10,1,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,53,4,14,6,5,35,,,,4,7,4,3,,,,,2,2,4,1,,,1,,2.5,2,4,1
File,DefaultPooledObject.java,5,,,,36,1,1,1,1,8,0,2,,,,1,0,0,23,,23,23,10,23,,0,0,0,23,,298,32,169,67,82,98,,,,72,109,46,63,,,,,4,4,4,3,,,2,,0.58,36,37,25
File,DefaultPooledObjectInfo.java,4,,,,13,1,1,1,1,4,0,0,,,,1,0,0,12,,12,12,1,12,,0,0,0,12,,114,16,67,35,23,31,,,,28,42,24,18,,,,,2,2,2,1,,,1,,0.46,13,13,12
File,DefaultPooledObjectInfoMBean.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,10,10,0,10,,10,0,0,0,,115,11,13,12,0,91,,,,11,12,12,0,,,,,0,0,0,0,,,0,,7,0,0,0
File,EvictionConfig.java,6,,,,7,1,1,1,1,15,0,8,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,114,7,41,13,21,66,,,,21,29,11,18,,,,,3,3,3,1,,,1,,1.61,7,7,5
File,EvictionPolicy.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,44,3,5,4,0,36,,,,3,4,4,0,,,,,0,0,0,0,,,0,,7.2,0,0,0
File,EvictionTimer.java,8,,,,10,1,1,1,1,12,0,4,,,,3,2,1,6,,6,4,0,6,,2,1,0,3,,135,12,59,24,26,66,,,,27,39,20,19,,,,,4,4,5,1,,,2,,1.12,10,11,6
