Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Reference),Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
CollectionUtils.removeAll is not work as expected,COLLECTIONS-487,12674741,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Blocker,Duplicate,,xcooper,xcooper,21/Oct/13 07:48,09/Nov/14 14:31,13/Jun/19 02:05,21/Oct/13 07:56,3.2.1,,,4.0,,,Collection,List,,0,,,"http://svn.apache.org/viewvc/commons/proper/collections/tags/COLLECTIONS_3_2_1/src/java/org/apache/commons/collections/CollectionUtils.java?revision=1211567&view=markup

Line: 1122
Problem:
The method called ""removeAll"", but call ""retainAll"" internally.",JDK 1.6,360,360,,0%,360,360,,,COLLECTIONS-219,,,,,0.0,,,,,,,,,,,,,,,,,,,2013-10-21 07:55:51.13,,,false,,,,,,,,,,,,,,354363,,,Mon Oct 21 07:55:51 UTC 2013,,,,,,0|i1p3cf:,354653,,,,,,,,,"21/Oct/13 07:55;tn;You have found the most prominent bug in collections-3.2.1, which has been fixed for the upcoming 4.0 release.

Although this bug alone would be enough to justify a 3.2.2 release ;-).",,,,,,,,,,
"CollectionUtils.removeAll(Collection, Collection) has an CopyPaste-Failure",COLLECTIONS-386,12530050,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Critical,Duplicate,joehni,thomas.steininger,thomas.steininger,03/Nov/11 14:07,03/Nov/11 16:19,13/Jun/19 02:05,03/Nov/11 16:19,3.2.1,,,4.0,Nightly Builds,,,,,0,,,"public static Collection removeAll(Collection collection, Collection remove) {
        return ListUtils.retainAll(collection, remove);
    }
",commons-collections-3.2.1.jar,,,,,,,,,COLLECTIONS-357,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-11-03 14:09:02.867,,,false,,,,,,,,,,,,,,215909,,,Thu Nov 03 16:19:31 UTC 2011,,,,,,0|i0shun:,164369,,,,,,,,,03/Nov/11 14:09;ggregory;This is already fixed in trunk.,03/Nov/11 14:15;ggregory;Already in SVN trunk.,"03/Nov/11 16:19;joehni;Closed as Nth duplicate, otherwise we might have it multiple times in the change log.",,,,,,,,
"Inconsistent Javadoc comment and code in intersection(List list1,List list2)in org.apache.commons.collections.ListUtils",COLLECTIONS-402,12548780,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Invalid,,shinhwei,shinhwei,30/Mar/12 03:42,27/Nov/15 21:47,13/Jun/19 02:05,26/Jul/12 20:59,3.2.1,,,,,,Collection,,,0,,,"The Javadoc comment below states that the method ""throws NullPointerException if either list is null"". 
    	     /*......
	     * 
	     * @throws NullPointerException if either list is null
	     */
	    public static List intersection(final List list1, final List list2)
	        ..
	    }
However, when called with a null list1 and an empty list2(i.e., ""intersection((List)null, new ArrayList())""), the method executes normally without throwing any exception.

Suggested Fixes:
1. Add code ""if (list1 == null) throw NullPointerException();"" at the beginning of the method body.
or
2. Remove ""@throws NullPointerException if either list is null"" from the Javadoc.
or
3. Change ""@throws NullPointerException if either list is null"" to ""@throws NullPointerException if list2 is null or (the list2 is non-empty and the list1 is null)"".
",Platform Independent ,180,180,,0%,180,180,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2012-04-09 17:56:08.067,,,false,,,,,,,,,,,,,,233877,,,Mon Apr 09 17:56:08 UTC 2012,,,,,,0|i0shrz:,164357,,,,,,,,,"09/Apr/12 17:56;tn;Already fixed for 4.0, although we should consider throwing an IllegalArgumentException in such a case.",,,,,,,,,,
Deserialization and Apache Commons Collection,COLLECTIONS-581,12911814,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Invalid,markt,deepeshkapoor,deepeshkapoor,10/Nov/15 09:55,27/Nov/15 21:47,13/Jun/19 02:05,10/Nov/15 10:00,3.0,3.1,3.2.1,,,,Functor,,,0,patch,,"Hi Team,

This is regarding “commons-collections Java library”. In our applications we are widely using this library and hence looking to urgently patch the fix for vulnerability issue if it is available.
Searching on internet we found one patch released on Sunday 08th Nov http://svn.apache.org/viewvc?view=revision&revision=1713307

Just wanted to check with you if there is any updated / complied version of commons-collections jar available or going to be released soon which we can directly replace with our existing jar file that provides the fix for the vulnerability issue.

Thanks in advance!
",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2015-11-10 10:00:04.388,,,false,,,,,Important,Patch,,,,,,,,9223372036854775807,,,Tue Nov 10 10:06:38 UTC 2015,,,,,,0|i2o6qn:,9223372036854775807,,,,,,,,,10/Nov/15 10:00;markt;Jira is not the place to ask support questions. Please use the mailing list.,"10/Nov/15 10:06;deepeshkapoor;Thanks Mark, i have dropped an email to 'dev@commons.apache.org' and  'security@apache.org'. Kindly let me know if this is fine.


",,,,,,,,,
ListUtils.retainAll() is very slow,COLLECTIONS-418,12596465,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Won't Fix,,adriannistor,adriannistor,29/Jun/12 22:16,27/Nov/15 21:47,13/Jun/19 02:05,26/Aug/12 21:32,3.2.1,,,,,,,,,0,,,"Hi,

I am encountering a performance problem in ListUtils.retainAll().  It
appears in version 3.2.1 and also in revision 1355448.  I attached a
test that exposes this problem and a one-line patch that fixes it.  On
my machine, for this test, the patch provides a 238X speedup.

To run the test, just do:

$ java Test

The output for the un-patched version is:
Time is 5485

The output for the patched version is:
Time is 23

As the patch shows, the problem is that
""ListUtils.retainAll(Collection<E> collection, Collection<?> retain)""
performs ""retain.contains(obj)"" for each element in ""collection"",
which can be very expensive if ""retain.contains(obj)"" is expensive,
e.g., when ""retain"" is a list.

The one-line patch I attached puts the elements of ""retain"" in a
HashSet (which has very fast ""contains()""), if ""retain"" is not already
a set:

""if (!(retain instanceof java.util.Set<?>)) retain = new HashSet<Object>(retain);""

Is this a bug, or am I misunderstanding the intended behavior? If so,
can you please confirm that the patch is correct?

Thanks,

Adrian
","java 1.6.0_24
Ubuntu 11.10",,,,,,,,,,,29/Jun/12 22:16;adriannistor;Test.java;https://issues.apache.org/jira/secure/attachment/12534059/Test.java,29/Jun/12 22:16;adriannistor;patch.diff;https://issues.apache.org/jira/secure/attachment/12534058/patch.diff,,2.0,,,,,,,,,,,,,,,,,,,2012-08-26 21:32:46.002,,,false,,,,,,,,,,,,,,255284,,,Sun Aug 26 21:32:46 UTC 2012,,,,,,0|i0eqon:,84085,,,,,,,,,26/Aug/12 21:32;tn;Added to the javadoc a clarification on the runtime complexity of the method. Users shall use a data structure for the elements to be retained which supports a fast implementation of contains.,,,,,,,,,,
ListUtils.removeAll() is very slow,COLLECTIONS-416,12596453,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Won't Fix,,adriannistor,adriannistor,29/Jun/12 21:09,27/Nov/15 21:47,13/Jun/19 02:05,25/Jul/12 21:40,3.2.1,,,,,,,,,0,,,"Hi,

I am encountering a performance problem in ListUtils.removeAll().  It
appears in version 3.2.1 and also in revision 1355448.  I attached a
test that exposes this problem and a one-line patch that fixes it.  On
my machine, for this test, the patch provides a 217X speedup.

To run the test, just do:

$ java Test

The output for the un-patched version is:
Time is 5430

The output for the patched version is:
Time is 25

As the patch shows, the problem is that
""ListUtils.removeAll(Collection<E> collection, Collection<?> remove)""
performs ""remove.contains(obj)"" for each element in ""collection"",
which can be very expensive if ""remove.contains(obj)"" is expensive,
e.g., when ""remove"" is a list.

The one-line patch I attached puts the elements of ""remove"" in a
HashSet (which has very fast ""contains()""), if ""remove"" is not already
a set:

""if (!(remove instanceof java.util.Set<?>)) remove = new HashSet<Object>(remove);""

Is this a bug, or am I misunderstanding the intended behavior? If so,
can you please confirm that the patch is correct?

Thanks,

Adrian
","java 1.6.0_24
Ubuntu 11.10",,,,,,,,,,,29/Jun/12 21:09;adriannistor;Test.java;https://issues.apache.org/jira/secure/attachment/12534042/Test.java,29/Jun/12 21:09;adriannistor;patch.diff;https://issues.apache.org/jira/secure/attachment/12534041/patch.diff,,2.0,,,,,,,,,,,,,,,,,,,2012-07-03 21:50:35.038,,,false,,,,,,,,,,,,,,292943,,,Wed Jul 25 21:42:45 UTC 2012,,,,,,0|i0shpb:,164345,,,,,,,,,"03/Jul/12 21:50;tn;Hi Adrian,

in this case (similar to the other issues like COLLECTIONS-415, 417, 418) I am not sure if the proposed patch is the right way to go. I would actually prefer to document the behavior of the method and to make it clear that removeAll will call contains() on the collection to be removed, so that users have to use a collection that supports this operation fast, e.g. by wrapping it themselves in the same way as outlined in the patch.","03/Jul/12 23:11;adriannistor;Hi Thomas,

Yes, you are absolutely right, my patch:

""if (!(remove instanceof java.util.Set<?>)) remove = new HashSet<Object>(remove);""

assumes that anything else except Set has slow contains(), which is
false.

Maybe the best tradeoff is to document this problem, just like you
said, and handle the most common case of slow contains(), i.e., when
the collection is a list:

""if (remove instanceof java.util.List) remove = new HashSet<Object>(remove);""

The scalable solution would be to have a helper method, presumably in
CollectionUtils:

public static <E> Collection<E> createFastContainsCollection(Collection<E> c) {
   return (c instanceof List<E>) ? new HashSet<E>(c) : c;
}

and use it when the complexity of contains() affects the complexity of
the algorithm.  This is similar with choosing your algorithm based on
if a collection implements java.util.RandomAccess or not.

Best,

Adrian

","15/Jul/12 15:41;tn;Hi Adrian,

maybe this case is not as clear as for example COLLECTIONS-420. I think that users should use the proper data structures for their use-cases and we should be careful to not just mimick HashSet behavior regardless of what comes along. If somebody provides a List to removeAll, he/she needs to be aware that this will slow things down, and that a different data structure would be more appropriate (IF it contains lots of data of course, when there are just 1 or 2 elements it makes not much of a difference).

Other people may have different opinions on this?

Thomas","16/Jul/12 14:31;adriannistor;Hi Thomas,

Sure, I agree, documenting this behavior is equally good.

Best,

Adrian

",25/Jul/12 21:40;tn;Added clarifying javadoc to the method in r1365784.,"25/Jul/12 21:42;tn;Resolved as ""Won't Fix"". The user is responsible for using proper data structures as argument to this method. This is also inline with the jdk whenever there are are methods that take a Collection as input.",,,,,
CompositeCollection.containsAll() is very slow,COLLECTIONS-420,12596483,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Won't Fix,,adriannistor,adriannistor,30/Jun/12 01:05,27/Nov/15 21:47,13/Jun/19 02:05,26/Aug/12 21:25,3.2.1,,,,,,,,,0,,,"Hi,

I am encountering a performance problem in
CompositeCollection.containsAll().  It appears in version 3.2.1 and
also in revision 1355448.  I attached a test that exposes this problem
and a patch that fixes it.  On my machine, for this test, the patch
provides a 167X speedup.

To run the test, just do:

$ java Test

The output for the un-patched version is:
Time is 9192

The output for the patched version is:
Time is 54

The problem is that 
""CompositeCollection.containsAll(Collection<?> coll)"" performs 
""contains(item)"" for each item in ""coll"", and ""contains(item)""
searches ""item"" in all collections in CompositeCollection.  This can
be very slow if the collections in CompositeCollection have slow
""contains()"", e.g., when these collections are lists.

The patch I attached puts the elements in each collection of
CompositeCollection in a HashSet (which has very fast ""contains()"") if
that collection is not already a set.  For efficiency, putting
elements in several HashSet objects is performed lazily in the patch.

Is this a bug, or am I misunderstanding the intended behavior?  If so,
can you please confirm that the patch is correct?

Thanks,

Adrian
","java 1.6.0_24
Ubuntu 11.10",,,,,,,,,,,30/Jun/12 01:05;adriannistor;Test.java;https://issues.apache.org/jira/secure/attachment/12534082/Test.java,30/Jun/12 01:05;adriannistor;patch.diff;https://issues.apache.org/jira/secure/attachment/12534081/patch.diff,,2.0,,,,,,,,,,,,,,,,,,,2012-08-26 21:25:18.229,,,false,,,,,,,,,,,,,,255283,,,Sun Aug 26 21:25:18 UTC 2012,,,,,,0|i0eqof:,84084,,,,,,,,,"26/Aug/12 21:25;tn;CompositeCollection is a decorator for existing collections. Operations shall not alter the backing collections. To support a unified view on collections with a fast contains, users should better use a CompositeSet and convert the collections to a set themselves.",,,,,,,,,,
FastTreeMap is not compatible with TreeMap,COLLECTIONS-394,12544629,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Won't Fix,,michaelpradel,michaelpradel,29/Feb/12 14:49,27/Nov/15 21:47,13/Jun/19 02:05,23/Jun/12 17:14,3.2.1,,,,,,Map,,,0,,,"FastTreeMap extends TreeMap in a way that doesn't preserve the superclass behavior. For example, the following code prints 'null', but I would expect it to print '1=1', which is what TreeMap does:

TreeMap map = new FastTreeMap();
//TreeMap map = new TreeMap();

map.put(1, ""1"");
map.put(3, ""3"");
		
Entry e = map.floorEntry(2);
System.out.println(e);

This behavior is surprising and can hit you every time a reference of type TreeMap refers to an instance of FastTreeMap. A subclass instance used through a superclass interface shouldn't change the visible behavior of its superclass.

The reason for this problem seems to be that FastTreeMap both extends TreeMap and delegates to a TreeMap via the 'map' field. I.e., there are  two map instances for a single FastTreeMap instance.",all,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2012-02-29 14:51:42.479,,,false,,,,,,,,,,,,,,229815,,,Sat Jun 23 17:14:22 UTC 2012,,,,,,0|i0shsv:,164361,,,,,,,,,"29/Feb/12 14:51;ggregory;Would you be willing to provide a patch for unit test and code?

Thank you.","02/Mar/12 14:19;michaelpradel;It seems the problem affects several other methods in FastTreeMap, specifically methods that have been added to TreeMap in Java 1.6. E.g. TreeMap.headMap(K) existed before Java 1.6 and is overridden by FastTreeMap, while TreeMap.headMap(K, boolean) got added in Java 1.6. and is not overridden by FastTreeMap. All inherited methods do not refer to the 'map' field, and therefore use the wrong map.

One way to fix these problems is to override all public methods from TreeMap in FastTreeMap. Since I'm not familiar with FastTreeMap's implementation, I'll leave this task to someone more experienced with the Commons Collections.","23/Jun/12 17:14;tn;The FastTreeMap class has been removed from trunk.

There is no drop-in replacement, but one can use a ConcurrentHashMap from the java.util.concurrent package or a synchronized TreeMap.

Please open new issue if you would like to have an equivalent class in collections 4.0.",,,,,,,,
FastArrayList.toString() fails to check for reference to itself,COLLECTIONS-423,12599824,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Won't Fix,,michaelpradel,michaelpradel,23/Jul/12 09:05,27/Nov/15 21:47,13/Jun/19 02:05,26/Aug/12 21:06,3.2.1,,,,,,List,,,0,,,"FastArrayList.toString() throws a StackOverflowError when the list contains itself, because toString() is called recursively. In contrast, ArrayList checks for this case and deals with it appropriately. E.g.:

  ArrayList l = new FastArrayList();
  l.add(l);
  l.toString(); // StackOverflowError

But:

  ArrayList l = new ArrayList();
  l.add(l);
  l.toString(); // OK
	
To be compatible with its superclass, FastArrayList should also consider this special case.",All environments,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2012-07-25 18:59:37.3,,,false,,,,,,,,,,,,,,255282,,,Wed Jul 25 18:59:37 UTC 2012,,,,,,0|i0eqo7:,84083,,,,,,,,,"25/Jul/12 18:59;tn;Hi Michael,

thanks for your bug report. It is unlikely that there will be a 3.2.2 release and the FastArrayList has been dropped for future major releases (currently preparing release 4.0) in favor of CopyOnWriteArrayList which is available from the standard JDK.

Thomas",,,,,,,,,,
"Inconsistent Javadoc comment and code in removeAll(Collection<E>, Collection<?>) in org.apache.commons.collections.ListUtils",COLLECTIONS-401,12548778,Bug,Closed,COLLECTIONS,Commons Collections,software,issues@commons.apache.org,,http://commons.apache.org/collections/,Major,Not A Problem,,shinhwei,shinhwei,30/Mar/12 03:02,27/Nov/15 21:47,13/Jun/19 02:05,26/Jul/12 21:02,3.2.1,,,,,,Collection,,,0,javadoc,,"The Javadoc comment below states that the method ""throws NullPointerException if either parameter is null"". 
    	     /*......
	     * 
	     * @throws NullPointerException if either parameter is null
	     */
	    public static <E> List<E> removeAll(Collection<E> collection, Collection<?> remove) {
	        ..
	    }
However, when called with two null collections (i.e., ""removeAll((Collection)null, (Collection)null)""), the method executes normally without throwing any exception.

Suggested Fixes:
1. Add code ""if (collection == null) throw NullPointerException();"" at the beginning of the method body.
or
2. Remove ""@throws NullPointerException if either parameter is null"" from the Javadoc.
or
3. Change ""@throws NullPointerException if either parameter is null"" to ""@throws NullPointerException if the first collection is null or (the first collection is non-empty and the second collection is null)"".",,180,180,,0%,180,180,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2012-04-09 17:54:28.828,,,false,,,,,,,,,,,,,,233875,,,Wed Jun 20 17:23:51 UTC 2012,,,,,,0|i0shs7:,164358,,,,,,,,,"09/Apr/12 17:54;tn;Already fixed for 4.0, although we should consider throwing IllegalArgumentException in such cases.",20/Jun/12 07:20;thomasle75@live.com;the removeAll is calling ListUtils.retainAll instead of ListUtils.removeAll,"20/Jun/12 17:23;tn;Can you be a bit more precise?

Looking at the code of ListUtils, I do not see that retainAll is called. In fact doing a reference check of ListUtils.retainAll shows that it is only called by CollectionUtils.retainAll (and some test class).",,,,,,,,
