GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,3,11,3,7,1,7
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,MultiKey,21,174,2,10,5,32,4,16,2,12
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,AbstractMapEntry,4,66,1,19,1,12,2,12,1,3
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,DefaultMapEntry,7,12,0,0,2,4,1,2,1,2
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,14,10,0,0,4,3,2,2,2,2
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,TiedMapEntry,20,89,12,10,2,20,10,8,0,7
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,AbstractKeyValue,16,28,0,0,6,11,2,4,2,4
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.keyvalue,DefaultKeyValue,114,0,24,0,25,0,21,0,9,0
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.splitmap,TransformedSplitMap,69,49,6,2,17,13,9,6,5,6
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,35,48,3,1,9,14,8,10,6,10
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,55,53,12,2,14,15,9,12,3,11
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,SynchronizedCollection,15,237,4,8,3,50,4,23,0,21
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,PredicatedCollection.Builder,188,0,18,0,48,0,23,0,14,0
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,89,0,2,2,24,1,19,1,18
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,IndexedCollection,8,234,2,28,2,65,3,29,1,16
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,CompositeCollection,46,397,1,59,12,100,6,50,5,21
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,TransformedCollection,5,98,2,6,1,20,2,9,0,7
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.collection,PredicatedCollection,10,84,0,8,2,18,2,9,2,5
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.comparators,ComparatorChain,70,219,15,27,19,58,18,21,6,12
commons-collections4 (9-Jun-2019 2:07:48 PM)/commons-collections4/src/main/java,org.apache.commons.collections4.comparators,NullComparator,13,93,4,20,3,20,5,14,1,6
