Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment
Don't create un-needed resources in FileUploadBase.java,FILEUPLOAD-292,13205799,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Trivial,Fixed,chtompki,chtompki,chtompki,20/Dec/18 18:29,05/Feb/19 14:11,02/Jun/19 17:45,05/Feb/19 14:06,1.3.3,,1.4,,,0,,,When creating a {{FileItemStreamImpl}} we are creating an object even when {{fileSizeMax == -1}} which allocates unneeded objects that will need to be garbage collected later.,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:43 UTC 2019,,,,,,0|u007co:,9223372036854775807,,,,,,,,,05/Feb/19 14:11;chtompki;1.4 Released,,,,,
Linux dentry cache memory leak due to inappropriate temporary file detection,FILEUPLOAD-288,13120388,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Major,Fixed,,fangwentong,fangwentong,23/Nov/17 05:09,05/Feb/19 14:11,02/Jun/19 17:45,23/Nov/17 20:44,,,1.4,Nightly Builds,,0,,,"We use commons-fileupload:1.3.3 to handle multipart request, param {{file-size-threshold}} was set to 200K. Our API handle multipart request in high QPS, the size of request body is about 20KB, which means those parts was saved in memory, not written to disk temporary file.

But, in our production environment,  size of dentry cache grows up in high speed. here are some analysis:

in {{strace}} result, plenty of {{stat}} system call invoked for tmp files which not exists. 
{noformat}
[pid 111310] <... stat resumed> {st_mode=S_IFDIR|0755, st_size=6, ...}) = 0
[pid 57844] <... stat resumed> 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624923.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624922.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624921.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624920.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624919.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624918.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 69798] stat(""/tmp"",  <unfinished ...>
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624917.tmp"",  <unfinished ...>
[pid 69798] <... stat resumed> {st_mode=S_IFDIR|0755, st_size=6, ...}) = 0
[pid 57844] <... stat resumed> 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624916.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624915.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624914.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624913.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624912.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624911.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624910.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624909.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624908.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624907.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624906.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624905.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624904.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624903.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624902.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624901.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624900.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624899.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624898.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624897.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624896.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624895.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624894.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624893.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624892.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624891.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624890.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624889.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624888.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624887.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624886.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624885.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 57844] stat(""/tmp/upload_75a3e205_c3f1_43e7_8165_34f6a7a02227_518624884.tmp"", 0x7f08e80b84b0) = -1 ENOENT (No such file or directory)
[pid 78454] --- SIGPIPE {si_signo=SIGPIPE, si_code=SI_USER, si_pid=57810, si_uid=605} ---{noformat}

in {{slabtop}} result , dentry cache taken up 22GB+ memory.

{noformat}
 Active / Total Objects (% used)    : 233715492 / 234153507 (99.8%)
 Active / Total Slabs (% used)      : 7858579 / 7858606 (100.0%)
 Active / Total Caches (% used)     : 108 / 200 (54.0%)
 Active / Total Size (% used)       : 29322726.34K / 29380106.43K (99.8%)
 Minimum / Average / Maximum Object : 0.02K / 0.12K / 4096.00K

  OBJS ACTIVE  USE OBJ SIZE  SLABS OBJ/SLAB CACHE SIZE NAME
116095303 116095295  26%    0.06K 1967717       59   7870868K size-64
116090260 116090260  26%    0.19K 5804513       20  23218052K dentry
{noformat}


finally, I think the root cause is：in temporary file cleanup policy defined at {{DiskFileItem#finalize}}, call {{outputFile.exists()}} for every File, even if the part not write to disk.

{code:java}
    @Override
    protected void finalize() {
        if (dfos == null) {
            return;
        }
        File outputFile = dfos.getFile();

        if (outputFile != null && outputFile.exists()) {
            outputFile.delete();
        }
    }
{code}","OS version: CentOS release 6.7 (Final)
Kenel: 2.6.32-573.26.1.el6.x86_64
JVM: Oracle 1.8.0_102-b14
Tomcat: 8.0.33.0
commons-fileupload : 1.3.3",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2017-11-23 05:29:33.291,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:43 UTC 2019,,,,,,0|i3n4jr:,9223372036854775807,,,,,,,,,"23/Nov/17 05:29;githubbot;GitHub user fangwentong opened a pull request:

    https://github.com/apache/commons-fileupload/pull/12

    FILEUPLOAD-288: detect file only if the file written to disk.

    see https://issues.apache.org/jira/browse/FILEUPLOAD-288

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/fangwentong/commons-fileupload master

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/commons-fileupload/pull/12.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #12
    
----
commit b28019b27ab06847815de02ed69fffdfa6bf18d1
Author: fangwentong <fangwentong2012@gmail.com>
Date:   2017-11-23T05:26:05Z

    FILEUPLOAD-288: detect file only if the file written to disk.

----
","23/Nov/17 20:10;githubbot;Github user asfgit closed the pull request at:

    https://github.com/apache/commons-fileupload/pull/12
","23/Nov/17 20:41;githubbot;Github user jochenw commented on the issue:

    https://github.com/apache/commons-fileupload/pull/12
  
    Applied to master, and b1_3 branches, thank you!

","23/Nov/17 20:44;jochen@apache.org;Applied to master, and b1_3, branches.
",05/Feb/19 14:11;chtompki;1.4 Released,
Add tests to the portlet package,FILEUPLOAD-283,13078919,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Minor,Fixed,kinow,kinow,kinow,11/Jun/17 04:13,05/Feb/19 14:11,02/Jun/19 17:42,25/Jun/17 05:06,,,1.4,,,0,coverage,test,"Currently, the o.a.c.fileupload.portlet is reported as having 0% coverage in the cobertura report.

During the last vote thread I noted that and added a post-it to add some tests. Creating a ticket so that I do not forget.",,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2017-06-16 23:06:54.651,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:45 UTC 2019,,,,,,0|i3g53z:,9223372036854775807,,,,,,,,,"16/Jun/17 23:06;githubbot;GitHub user kinow opened a pull request:

    https://github.com/apache/commons-fileupload/pull/8

    FILEUPLOAD-283: add tests for the portlet package

    Initial tests for the portlet package. I believe there have been updates to the portlet specification(s) that have not been applied to Commons FileUpload yet. Hopefully, having unit tests will help us later when changing the package.
    
    Removed strings like ""US-ASCII"" using the `StandardCharsets` class from Java 7.
    
    There was a class -`FileUploadTestCase`- that was extended by other tests. But it became problematic as there were tests that would be common to any implementation of `FileUpload`, while other tests were specific to `ServletFileUpload`.
    
    This pull request removed the inheritance from the tests, by a `Util` class (open to other suggestions) with methods for parsing uploads and for tests.
    
    Tests related to `ServletFileUpload` are now in `ServletFileUploadTest`, in the `.servlet` package in the test sources.
    
    Tests related to `PortletFileUpload` are now in `PortletFileUploadTest`, in the `.portlet` package in the test sources.
    
    There are no functional changes in the tests. Coverage remained the same for other classes. For the `.portlet` package, it went from 0% to 60% in my local working copy.
    
    There are lots of other parts that need better coverage, but at least I think having tests in separated classes will make it slightly easier to add more.
    
    Cheers
    Bruno

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/kinow/commons-fileupload FILEUPLOAD-283

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/commons-fileupload/pull/8.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #8
    
----
commit f8f529ee0baecc9262317cc5375af1eb42aadab4
Author: Bruno P. Kinoshita <brunodepaulak@yahoo.com.br>
Date:   2017-06-11T05:23:07Z

    FILEUPLOAD-283: add tests for the portlet package

----
","24/Jun/17 10:15;githubbot;Github user kinow commented on the issue:

    https://github.com/apache/commons-fileupload/pull/8
  
    No objections so far, will merge it tomorrow after reviewing the code once more :+1: 
","25/Jun/17 05:05;githubbot;Github user asfgit closed the pull request at:

    https://github.com/apache/commons-fileupload/pull/8
","25/Jun/17 05:06;kinow;Pull request merged. Coverage increased a bit, tests adapted to cover servlet, legacy class, and portlets. No tests were removed, only moved to other test classes or new ones added.",05/Feb/19 14:11;chtompki;1.4 Released,
"Upversion complier.source, compiler.target to 1.6",FILEUPLOAD-282,13077239,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Minor,Fixed,chtompki,chtompki,chtompki,05/Jun/17 13:01,05/Feb/19 14:11,02/Jun/19 17:45,05/Jun/17 13:02,1.3.2,,1.4,,,0,,,"For java9 compatibility we want:
{code:xml}
<maven.compiler.source>1.5</maven.compiler.source>
<maven.compiler.target>1.5</maven.compiler.target>
{code}
in the pom.xml to be:
{code:xml}
<maven.compiler.source>1.6</maven.compiler.source>
<maven.compiler.target>1.6</maven.compiler.target>
{code}",,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2017-06-05 14:08:56.024,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:42 UTC 2019,,,,,,0|i3fviv:,9223372036854775807,,,,,,,,,05/Jun/17 13:02;chtompki;Checked into master branch,"05/Jun/17 14:08;jochen@apache.org;Could you please explain, Rob, why version 1.5 affects Java 9 compatibility? (This will, most likely, affect other commons projcts as well.)

","05/Jun/17 14:12;chtompki;My environment (mac OS X 10.12.5):
{code}
$ mvn -X
Apache Maven 3.5.0 (ff8f5e7444045639af65f6095c62210b5713f426; 2017-04-03T15:39:06-04:00)
Maven home: /usr/local/Cellar/maven/3.5.0/libexec
Java version: 9-ea, vendor: Oracle Corporation
Java home: /Library/Java/JavaVirtualMachines/jdk-9.jdk/Contents/Home
Default locale: en_US, platform encoding: UTF-8
$ java -version
java version ""9-ea""
Java(TM) SE Runtime Environment (build 9-ea+159)
Java HotSpot(TM) 64-Bit Server VM (build 9-ea+159, mixed mode)
{code}


My maven output:
{code}
[ERROR] COMPILATION ERROR : 
[INFO] -------------------------------------------------------------
[ERROR] Source option 1.5 is no longer supported. Use 1.6 or later.
[ERROR] Target option 1.5 is no longer supported. Use 1.6 or later.
[INFO] 2 errors 
[INFO] -------------------------------------------------------------
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 2.219 s
[INFO] Finished at: 2017-06-05T10:10:07-04:00
[INFO] Final Memory: 22M/1024M
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.5.1:compile (default-compile) on project commons-fileupload: Compilation failure: Compilation failure: 
[ERROR] Source option 1.5 is no longer supported. Use 1.6 or later.
[ERROR] Target option 1.5 is no longer supported. Use 1.6 or later.
[ERROR] -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException
{code}",05/Jun/17 14:13;chtompki;I also tried with maven 3.1.1 and got the same output.,"05/Jun/17 14:33;chtompki;Note, http://openjdk.java.net/jeps/182 gives

bq. In JDK 8, use of a source or target of 1.5 or earlier will be deprecated and in JDK 9, support for a source or target of 1.5 or earlier will be removed.",05/Feb/19 14:11;chtompki;1.4 Released
Test Coverage Report,FILEUPLOAD-273,12972326,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Major,Fixed,jochen@apache.org,jochen@apache.org,jochen@apache.org,24/May/16 09:14,05/Feb/19 14:11,02/Jun/19 17:45,24/May/16 14:00,1.3.1,,1.4,,,0,,,"Right now, a coverage report is not included in the project reports. [1] This must be changed.

1: http://commons.apache.org/proper/commons-fileupload/project-reports.html


",,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-02-05 14:11:43.003,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:43 UTC 2019,,,,,,0|i2yewv:,9223372036854775807,,,,,,,,,"24/May/16 14:00;jochen@apache.org;Fixed in 1745363 by adding the file src/site/resources/profile.cobertura.
",05/Feb/19 14:11;chtompki;1.4 Released,,,,
Performance Improvement in MultipartStream,FILEUPLOAD-272,12972076,Improvement,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Major,Fixed,britter,britter,britter,23/May/16 14:26,27/May/16 06:50,02/Jun/19 17:45,23/May/16 14:32,,,1.3.2,1.4,,0,,,Improve read performance of MultipartStream by better choosing the size of the read buffer.,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,9223372036854775807,,,Mon May 23 14:32:42 UTC 2016,,,,,,0|i2yddj:,9223372036854775807,,,,,,,,,23/May/16 14:32;britter;Applied a fix in r1743480 to trunk and in r1745058 to b1_3.,,,,,
"CLONE - Bug in docs: tmp file delete conditions in ""Resource Cleanup"" section of ""using.html""",FILEUPLOAD-270,12924425,Bug,Open,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Minor,,jochen@apache.org,craftwithin,craftwithin,27/Dec/15 23:16,28/Dec/15 14:32,02/Jun/19 17:45,,1.3,,1.4,,,0,,,"The guide at http://commons.apache.org/proper/commons-fileupload/using.html incorrectly writes: ""Such temporary files are deleted automatically, if they are no longer used (more precisely, if the corresponding instance of java.io.File is garbage collected."".

(The following affects maven version: http://search.maven.org/#artifactdetails|commons-fileupload|commons-fileupload|1.2.2|jar )

However, the code for org.apache.commons.io.FileCleaningTracker.Tracker.Tracker(...) passes org.apache.commons.fileupload.disk.DiskFileItemFactory.this specified by org.apache.commons.fileupload.disk.DiskFileItemFactory.createItem(String, String, boolean, String) in tracker.track(result.getTempFile(), this), and not java.io.File. I.e. the ""using.html"" guide must be corrected.

The correct (fixed) phrasing is: 

""Such temporary files are deleted automatically, if they are no longer used (more precisely, if the corresponding instance of org.apache.commons.fileupload.disk.DiskFileItemFactory is garbage collected."".

(The following affects maven version: http://search.maven.org/#artifactdetails|commons-fileupload|commons-fileupload|1.3|jar )

However, the code for org.apache.commons.io.FileCleaningTracker.Tracker.Tracker(...) passes DiskFileItem.this specified by org.apache.commons.fileupload.disk.DiskFileItemFactory.createItem(String, String, boolean, String) in DiskFileItem result=[...]; [...]; tracker.track(result.getTempFile(), result), and not java.io.File. I.e. the ""using.html"" guide must be corrected.

The correct (fixed) phrasing is: 

""Such temporary files are deleted automatically, if they are no longer used (more precisely, if the corresponding instance of org.apache.commons.fileupload.disk.DiskFileItem is garbage collected."".

(The following holds for both versions 1.2.2 and 1.3)

The correct (fixed) phrasing is: 

""Such temporary files are deleted automatically, if they are no longer used (more precisely, if the corresponding instance of org.apache.commons.fileupload.disk.DiskFileItem (for commons-fileupload v.1.3) and instance of org.apache.commons.fileupload.disk.DiskFileItemFactory (for commons-fileupload v.1.2.2) is garbage collected."".
",,,,,,,,,,FILEUPLOAD-234,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,9223372036854775807,,,2015-12-27 23:16:45.0,,,,,,0|i2qbtz:,9223372036854775807,,,,,,,,,,,,,,
Empty files in mutipart requests aren't saved to disk,FILEUPLOAD-258,12741450,Bug,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Minor,Fixed,,prcjac,prcjac,15/Sep/14 11:25,05/Feb/19 14:11,02/Jun/19 17:39,11/Nov/14 20:42,1.3,1.3.1,1.4,,,0,,,"If a multipart request contains an empty file, ServletFileUpload#parseRequest does not create a corresponding temporary file on the file system. If any operations are performed on the corresponding file object from DiskFileItem#getStoreLocation() a FileNotFoundException is thrown.

FileUploadBase#parseRequest() copies the multipart file input stream to the temporary file output stream with Streams#copy(). This method only creates the temporary file on the file system if data is written to the file's output stream. Since the input stream is empty, write is never called on the output stream and the temporary file is not created.

I've used the following snippet to overcome this issue. This ensures the temporary file is created on the file system prior to writing:

{code:title=Snippet.java|borderStyle=solid}
final DiskFileItemFactory factory = new DiskFileItemFactory() {
  @Override
  public FileItem createItem(final String fieldName, final String contentType, final boolean isFormField, final String fileName) {
    return new DiskFileItem(fieldName, contentType, isFormField, fileName, getSizeThreshold(), getRepository()) {
      private static final long serialVersionUID = 1L;

      @Override
      protected File getTempFile() {
        File tempFile = super.getTempFile();
        try {
          tempFile.createNewFile();
        }
        catch (final IOException e) {
          //Handle appropriately
          ...
        }
        return tempFile;
      }
    };
  }
};

ServletFileUpload upload = new ServletFileUpload(factory);
{code}",,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2014-11-11 20:42:35.053,,,false,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 14:11:46 UTC 2019,,,,,,0|i201iv:,9223372036854775807,,,,,,,,,"11/Nov/14 20:42;tn;The getStoreLocation() method wrongly returned a File object in case the FileItem was stored in memory. The javadoc was stating that it should return null in this case.

Fixed this in r1638377.

You can also use the method isInMemory() to determine if the file is stored on disk or solely in memory.

btw. the problem you describe can also happen for file smaller than the sizeThreshold for the DiskFileItemFactory.",05/Feb/19 14:11;chtompki;1.4 Released,,,,
Fix Javadoc 1.8 errors,FILEUPLOAD-257,12724387,Bug,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Minor,Fixed,,scop,scop,30/Jun/14 07:51,05/Feb/19 14:11,02/Jun/19 17:37,11/Nov/14 17:36,Nightly Builds,,1.4,,,0,patch,,"Javadoc build fails with Java 1.8, fix attached.",,,,,,,,,,,30/Jun/14 07:52;scop;0001-Fix-Javadoc-1.8-errors.patch;https://issues.apache.org/jira/secure/attachment/12653109/0001-Fix-Javadoc-1.8-errors.patch,1.0,,,,,,,,,,,,,,,,,,,2014-11-11 17:36:42.922,,,false,,,,,,,,,,,,402570,,,Tue Feb 05 14:11:40 UTC 2019,,,,,,0|i1xahz:,402637,,,,,,,,,"11/Nov/14 17:36;tn;Partially applied the patch in r1638222 as one problem has already been fixed before.

Thanks for the report and patch!",05/Feb/19 14:11;chtompki;1.4 Released,,,,
DiskFileItem#write can lose original IO error,FILEUPLOAD-252,12695602,Bug,Closed,FILEUPLOAD,Commons FileUpload,software,issues@commons.apache.org,,http://commons.apache.org/fileupload/,Major,Fixed,,sebb,sebb,17/Feb/14 23:16,05/Feb/19 14:11,02/Jun/19 17:45,11/Nov/14 20:45,,,1.4,,,0,,,"The method DiskFileItem#write has the following code:

{code}
FileOutputStream fout = null;
try {
    fout = new FileOutputStream(file);
    fout.write(get());
} finally {
    if (fout != null) {
        fout.close();
    }
}
{code}

If the write fails and then the close fails, the write failure will be masked by the close error. It might be better to write the code as:

{code}
FileOutputStream fout = null;
try {
    fout = new FileOutputStream(file);
    fout.write(get());
    fout.close();
} finally {
    IOUtils.closeQuietly(fout);
}
{code}

This would ensure that the first error was reported.",,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2014-11-11 20:45:28.592,,,false,,,,,,,,,,,,374110,,,Tue Feb 05 14:11:46 UTC 2019,,,,,,0|i1sgwv:,374410,,,,,,,,,11/Nov/14 20:45;tn;Fixed in r1638380.,"09/Dec/14 13:40;sebb;And

 http://svn.apache.org/r1643123",05/Feb/19 14:11;chtompki;1.4 Released,,,
