Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
FilenameUtils.concat fails with relative path,IO-606,13231991,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,matthias-ronge,matthias-ronge,07/May/19 11:50,07/May/19 13:27,12/Jun/19 20:47,,2.6,,,,,,,,Utilities,,,0,,"{{FilenameUtils.concat(""../../../../src/test/resources/"", ""filename.xml"")}}

returns {{null}}, where expected result should be like

{{../../../../src/test/resources/filename.xml}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-05-07 13:27:10.755,,,false,,,,,,,,,,,,,,9223372036854775807,,,Tue May 07 13:27:10 UTC 2019,,,,,,0|z02gls:,9223372036854775807,,,,,,,,,"07/May/19 13:27;ggregory;[~matthias-ronge],

Thank you for your report.

Please feel free to provide a failing unit test as a PR on GitHub and a fix if you are available.

Gary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maven dependency version,IO-603,13221090,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Minor,,,overka,overka,12/Mar/19 11:25,31/Mar/19 22:19,12/Jun/19 20:48,,,,,,,,,,,,,0,,"On [""Dependency information""|http://commons.apache.org/proper/commons-io/dependency-info.html] Maven version is *2.7-SNAPSHOT*, but I have troubles downloading this version, also in [Maven repository|https://mvnrepository.com/artifact/commons-io/commons-io] it seems the last version is 2.6.",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-03-31 22:19:49.494,,,false,,,,,,,,,,,,,,9223372036854775807,,,Sun Mar 31 22:19:49 UTC 2019,,,,,,0|z00lv4:,9223372036854775807,,,,,,,,,31/Mar/19 22:19;ggregory;Snapshots are here: https://repository.apache.org/snapshots/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"getPrefixLength returns wrong length on linux for filename ""C:""",IO-600,13215010,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,ichbinkeinreh,ichbinkeinreh,11/Feb/19 14:35,11/Feb/19 14:35,12/Jun/19 20:48,,2.6,,,,,,,,,,,0,,"On most unix filesystems only null byte and / are reserved characters. So its perfectly valid to have a file called ""C:"".

If the getPrefixLength method is called for the path of such a file then it returns 2 whereas the expected value is 0.",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,2019-02-11 14:35:34.0,,,,,,0|yi0uw8:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileUtils.iterateFiles goes out of memory when executed for a directory with large number of files,IO-597,13209174,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,arvindvenu,arvindvenu,12/Jan/19 11:39,12/Jan/19 11:39,12/Jun/19 20:48,,,,,,,,,,Utilities,,,0,,FileUtils.iterateFiles goes out of memory when executed for a directory with large number of files because it uses the listFiles method which returns an array of java.io.File objects. The iterator itself should not be derived from a list but from a Java Stream which will have lesser memory footprint. This feature however can be used only with Java 8 or later because streams were introduced only in Java 8.,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,2019-01-12 11:39:25.0,,,,,,0|u00rwg:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tailer has issue if a file is not logged to after rotating the file and second rotation occurs.,IO-591,13193644,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,chrishumphrey,chrishumphrey,23/Oct/18 18:27,23/Oct/18 18:27,12/Jun/19 20:48,,,,,,,,,,,,,0,,"We are using the org.apache.commons.io.input.Tailer for scrapping logs as another system generates the logs.  Generally, our logs will rotate at midnight each night, sometimes no data will be sent to a log file for more than a day, this is where the problem comes in.

If the Tailer is working on a file and it is rotated, everything works fine unless the file is not written to before the next rotation.  Looking at Tailer.java beginning at line 457, there is a conditional ""if (length > position)""... ""else if (newer) {""

anytime the code gets into the ""else if (newer) {"" block is when this issue will occur.

The issue was noticed in a second hand way, and commented in the file

/* ... This can happen if the file is truncated or overwritten... */

So, in this block, the file has been Rotated, but, there is no place in this block where the RandomAccessFile is re-created with the 'new' underlying file. 

Anything written into the new file will be noticed because above, the File is used, but, when the code attempts to read from the file, it will never get the data written.

There are multiple ways to fix this, one work around is to set reOpen to true.  Unfortunately, this is not a good workaround for us as the files we are scraping can get very large, seeking to large files every 500ms is not a great way for our production servers to spend their time.

 

The real fix is to rebuild the RandomAccessFile as it is done beginning on line 437 of the same file.  

 

I can make changes and propose them but have never submitted changes for Apache open source and would need some guidance on the process.

 

 ",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,2018-10-23 18:27:12.0,,,,,,0|i3zjs7:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is zero a legal buffer size or not?,IO-590,13193075,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,haozhong,haozhong,21/Oct/18 02:27,21/Oct/18 02:27,12/Jun/19 20:48,,3.x,,,,,,,,Utilities,,,0,,"I notice that in the org.apache.commons.io.IOUtils class, zero is considered as a legal buffer size. For example, the code of toByteArray is as follow:

 
{code:java}
public static byte[] toByteArray(final InputStream input, final int size) throws IOException {

if (size < 0) {
throw new IllegalArgumentException(""Size must be equal or greater than zero: "" + size);
}

if (size == 0) {
return new byte[0];
}
...
}{code}
The toBufferedReader method does not check buffer sizes. It pass buffer sizes to the underlying Java API:

 

 
{code:java}
public static BufferedReader toBufferedReader(final Reader reader, final int size) {
return reader instanceof BufferedReader ? (BufferedReader) reader : new BufferedReader(reader, size);
}
{code}
However, the underlying API considers zero as an illegal input:

 

 
{code:java}
public BufferedReader(Reader in, int sz) {
super(in);
if (sz <= 0)
throw new IllegalArgumentException(""Buffer size <= 0"");
this.in = in;
cb = new char[sz];
nextChar = nChars = 0;
}
{code}
I believe that the class shall have the same definition as the underlying API does. Zero shall not be considered as an legal input.

 ",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,2018-10-21 02:27:58.0,,,,,,0|i3zgan:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileUtils.copyFile fails with java.io.IOException: No such device,IO-586,13189394,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,loonydevil,loonydevil,04/Oct/18 10:31,04/Oct/18 10:31,12/Jun/19 20:48,,2.6,,,,,,,,Utilities,,,0,,"When trying to copy file on CEPH filesystem, FileUtils.copyFile fails with exception. I don't see any workaround except of replacing that call and rebuilding the project.

*Test Case*:

Here's a simple class to reproduce the issue:

 

 
{code:java}
import org.apache.commons.io.FileUtils;
import java.io.File;
import java.io.IOException;
import java.io.PrintWriter;
import java.nio.file.Files;

public class Test3 {
    public static void main(String[] args) throws IOException {
        PrintWriter writer = new PrintWriter(""file.txt"", ""UTF-8"");
        writer.println(""test input "" + Math.random());
        writer.close();
        FileUtils.copyFile(new File(""file.txt""), new File(""file-copy.txt""));
    }
}
{code}
below is the stacktrace:
{code:java}
Exception in thread ""main"" java.io.IOException: No such device at sun.nio.ch.FileChannelImpl.map0(Native Method) at sun.nio.ch.FileChannelImpl.map(FileChannelImpl.java:926) at sun.nio.ch.FileChannelImpl.transferFromFileChannel(FileChannelImpl.java:634) at sun.nio.ch.FileChannelImpl.transferFrom(FileChannelImpl.java:708) at org.apache.commons.io.FileUtils.doCopyFile(FileUtils.java:1131) at org.apache.commons.io.FileUtils.copyFile(FileUtils.java:1076) at org.apache.commons.io.FileUtils.copyFile(FileUtils.java:1028) at ztst.Test3.main(Test3.java:17)
{code}
Here's our server's file system configuration:
{code:java}
1. a squashfs (read only) image stored on a ceph's rbd
2. a directory on cephfs (read/write)

1 is the lower layer and 2 is the upper layer of an unionfs mount with the following options:

cow
max_files=32768
allow_other
use_ino
direct_io
statfs_omit_ro
nonempty
{code}
 ",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,2018-10-04 10:31:15.0,,,,,,0|i3ytpr:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FilenameUtils#normalizeNoEndSeparator does not sanitize multiple backslashes directly after the colon in windows file paths,IO-585,13189156,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Minor,,,adammcclenaghan,adammcclenaghan,03/Oct/18 13:02,03/Oct/18 13:19,12/Jun/19 20:48,,2.6,,,,,,,,,,,0,,"FilenameUtils#normalizeNoEndSeparator states in the javadoc that :
 ""A double slash will be merged to a single slash (but UNC names are handled).""

It has been observed that if a double backslash occurs after the colon in a windows filepath, then the returned path still contains this double backslash. For example:
{code:java}
C:\\Program Files\\ExampleDirectory  -->  C:\\Program Files\ExampleDirectory {code}
While the expectation is that we should be returning ' C:\Program Files\ExampleDirectory '

 ",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,9223372036854775807,,,Wed Oct 03 13:09:45 UTC 2018,,,,,,0|i3ys93:,9223372036854775807,,,,,,,,,"03/Oct/18 13:09;adammcclenaghan;Sample code to reproduce:
{code:java}
String path = ""C:\\\\Program Files\\\\TestDir;
String normalized = FilenameUtils.normalizeNoEndSeparator(path, false);{code}
Observe that the output is 
{code:java}
C:\\Program Files\TestDir{code}
 

The following is a code snippet from FilenameUtils#doNormalize
{code:java}
// adjoining slashes
for (int i = prefix + 1; i < size; i++) {
    if (array[i] == separator && array[i - 1] == separator) {
        System.arraycopy(array, i, array, i - 1, size - i);
        size--;
        i--;
    }
}
{code}
Using the 'path' string from the example above, the prefix is set to '3' by FilenameUtils#getPrefixLength, as a result of this, array[i] on first loop will be 'P', this explains why we are not merging the slashes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential issues with File.length(),IO-581,13168870,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,leventov,leventov,28/Jun/18 13:38,02/Jul/18 09:04,12/Jun/19 20:48,,,,,,,,,,,,,0,,"File.length() is called multiple times in the code of the project, some of them might be problematic due to the contract of this method: it silently returns 0 in case of any I/O error.

Examples: FileUtils.readFileToByteArray(), FileUtils.sizeOf(), etc.

Some uses of File.lastModified() might be problematic for similar reasons.",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2018-07-02 09:04:02.144,,,false,,,,,,,,,,,,,,9223372036854775807,,,Mon Jul 02 09:04:02 UTC 2018,,,,,,0|i3vc4n:,9223372036854775807,,,,,,,,,02/Jul/18 09:04;sebb;What do you suggest is done about this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FilenameUtils.isExtension() is case-sensitive,IO-579,13164946,Bug,Open,IO,Commons IO,software,issues@commons.apache.org,Commons IO is a library of utilities to assist with developing IO functionality. ,http://commons.apache.org/io/,Major,,,ohadr,ohadr,08/Jun/18 14:38,08/Jun/18 17:44,12/Jun/19 20:48,,2.6,,,,,,,,Utilities,,,0,easyfix,"FilenameUtils.isExtension() is case-sensitive. 

All 3 implementations of this method call String.equals() rather than equalsIgnoreCase(), so it means that if my extension is ""jpg"", for example, and my filename is something.JPG, the method (any of them) will return 'false'.

 

fix suggestion: should use the method [FilenameUtils.eqauls(...)|https://github.com/apache/commons-io/blob/master/src/main/java/org/apache/commons/io/FilenameUtils.java#L1200]

 ",,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2018-06-08 15:06:24.883,,,false,,,,,,,,,,,,,,9223372036854775807,,,Fri Jun 08 17:44:21 UTC 2018,,,,,,0|i3unwv:,9223372036854775807,,,,,,,,,"08/Jun/18 15:06;ggregory;Hello [~ohadr],

Case-sensitivity for file names depends on the file system. The Javadoc for this method specifies ""The extension check is case-sensitive on all platforms."" There is nothing to fix in this API IMO.

 ","08/Jun/18 16:38;ohadr;thanks [~garydgregory] for your supoer-quick reply.

 

In my case, I have an extension (the param) ""jpg"". On the file-system (windows in my case), there is a file ""something.JPG"". Due to the way the method is implemented now, I have to pass 2 extensions - ""jpg"" and ""JPG"", not to mention all other permutations (jPg, JPg, etc). otherwise, the method isExtension() returns false, and it is wrong...

 

I think the right way is to allow (by a param) the caller to decide whether he wants to check case-sensitive or not.... and it should be very easy fix, because there is already the method FilenameUtils.equals()....

 

what do you think?","08/Jun/18 16:45;ggregory;We are attempting top abstract things like case-sensitivity in a new enum in trunk called {{org.apache.commons.io.FileSystem}} but it is not fully baked; any help is appreciated.

Basically, for now, I think you should write code like:

{code:java}
FilenameUtils.isExtension(myString.toLowerCase(Locale.ROOT), new String[] {""jpg"", ""gif"", ""andSoOn"" });
{code}

For now, I'd rather not add a case-sensitive boolean to a bunch of APIs. Ideally, we should have APIs in {{org.apache.commons.io.FileSystem}} that factor that in.","08/Jun/18 17:44;ohadr;is it possible then to add another ""isExtension"" method, that get an extra-parameter, which is IOCase, and the caller can decide if he wants to be case-sensitive or not? other methods will call that method with a default param which will be IOCase.SENSITIVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
