GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.monitor,FileAlterationObserver,48,514,10,60,10,113,11,47,3,20
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.monitor,FileAlterationMonitor,3,184,0,26,1,53,0,25,0,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,29,18,14,10,10
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.serialization,ValidatingObjectInputStream,6,223,0,18,2,36,0,21,0,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,AbstractCharacterFilterReader,45,14,8,2,11,5,5,3,1,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ReversedLinesFileReader.FilePart,49,287,5,39,7,58,5,22,0,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CharSequenceInputStream,74,290,12,34,10,75,12,25,1,13
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ReaderInputStream,38,221,7,29,6,59,9,21,2,10
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CountingInputStream,0,84,0,6,0,20,0,10,0,7
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,InfiniteCircularInputStream,0,27,0,0,0,6,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CharacterFilterReader,0,15,0,2,0,4,0,3,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CharacterSetFilterReader,0,21,0,2,0,5,0,4,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,Tailer,80,376,7,34,21,101,13,29,7,14
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ProxyReader,97,56,4,2,35,19,10,7,7,7
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ProxyInputStream,38,85,1,3,16,29,2,13,1,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,XmlStreamReader,106,1269,12,148,26,199,13,91,4,20
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,TeeInputStream,10,60,2,6,5,18,2,8,1,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,SwappedDataInputStream,4,97,1,5,1,26,1,18,0,16
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,BOMInputStream,0,359,0,56,0,76,0,46,0,18
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,BoundedReader,0,100,0,12,0,27,0,12,0,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,DemuxInputStream,12,29,3,1,5,8,3,3,1,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,CharSequenceReader,41,129,6,16,6,33,7,13,1,8
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ObservableInputStream,53,179,8,22,15,59,10,20,3,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ReversedLinesFileReader,19,239,0,32,6,53,3,22,3,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,AutoCloseInputStream,0,24,0,2,0,11,0,5,0,4
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,ObservableInputStream.Observer,2,7,0,0,1,5,1,5,1,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,MessageDigestCalculatingInputStream,6,22,0,0,2,7,1,3,1,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input,NullInputStream,7,271,1,29,3,68,3,28,2,14
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input.buffer,CircularBufferInputStream,48,118,7,15,13,33,10,9,3,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input.buffer,CircularByteBuffer,308,120,46,12,52,25,33,9,7,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.input.buffer,PeekableInputStream,96,0,8,0,18,0,8,0,4,0
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,FileWriterWithEncoding,31,174,0,12,7,54,3,23,3,17
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ProxyWriter,30,161,0,6,10,60,0,17,0,14
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,StringBuilderWriter,0,79,2,4,0,25,2,13,0,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,XmlStreamWriter,49,167,8,16,12,44,10,13,3,8
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ThresholdingOutputStream,14,99,0,6,6,28,3,12,3,9
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,TaggedOutputStream,0,24,0,0,0,7,0,4,0,4
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ChunkedWriter,0,45,0,4,0,15,0,5,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ClosedOutputStream,0,26,0,0,0,4,0,4,0,4
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,LockableFileWriter,110,141,5,9,33,37,16,11,12,8
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,NullPrintStream,0,11,0,0,0,3,0,2,0,2
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,DemuxOutputStream,20,30,5,1,8,9,5,3,2,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ByteArrayOutputStream,19,496,10,36,4,119,10,31,0,18
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,NullWriter,2,19,0,0,1,12,1,11,1,11
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ProxyOutputStream,17,66,0,2,5,27,0,10,0,9
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,ChunkedOutputStream,0,45,0,4,0,15,0,5,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,TeeOutputStream,0,48,0,0,0,19,0,6,0,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,CountingOutputStream,0,72,0,4,0,17,0,8,0,6
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,AppendableOutputStream,0,16,0,0,0,6,0,3,0,3
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,DeferredFileOutputStream,21,169,4,14,6,47,4,17,0,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io.output,WriterOutputStream,37,233,2,16,9,69,5,19,3,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io,FileSystemUtils,104,641,27,74,24,151,24,42,2,12
"commons-io-master (Jun 12, 2019 4:21:22 PM)/commons-io-master/src/main/java",org.apache.commons.io,HexDump,3,293,0,24,2,47,1,16,1,4
