Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractCharacterFilterReader.java",2,2,2,2,11,0,9,2,,,,1,0,0,3,,4,4,0,4,,0,0,2,2,,74,6,36,14,16,32,,,,19,27,13,14,,,,,,5,5,5,4,,,2,,,,0.89,8,8,8,6
File,"AbstractFileComparator.java",1,1,1,1,13,0,5,8,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,75,5,24,11,7,46,,,,11,17,10,7,,,,,,2,2,2,1,,,1,,,,1.92,5,5,5,3
File,"AbstractFileFilter.java",1,1,1,1,9,0,3,6,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,66,6,16,9,3,44,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,2.75,3,3,3,3
File,"AbstractMonitorTestCase.java",1,1,1,1,18,0,12,5,,,,1,0,0,5,,5,5,5,5,,0,0,4,1,,153,19,82,40,43,52,,,,49,58,32,26,,,,,,4,4,4,1,,,2,,,,0.63,9,9,9,5
File,"AgeFileFilter.java",1,1,1,1,11,0,3,7,,,,1,0,1,8,,8,8,2,8,,0,0,0,8,,158,13,39,21,12,106,,,,19,28,19,9,,,,,,2,2,2,1,,,0,,,,2.72,10,10,10,8
File,"AndFileFilter.java",2,2,2,1,11,0,6,4,,,,1,0,1,10,,10,10,1,10,,0,0,0,10,,174,15,88,30,39,71,,,,36,60,24,36,,,,,,5,5,5,4,,,3,,,,0.81,22,22,23,16
File,"AndFileFilterTestCase.java",1,1,1,1,21,1,16,3,,,,1,0,2,11,,11,11,5,11,,0,0,10,1,,294,35,208,62,143,51,,,,151,165,52,113,,,,,,2,2,2,1,,,1,,,,0.25,12,12,12,11
File,"AppendableOutputStream.java",1,1,1,1,8,0,3,5,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,67,7,16,9,3,44,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,2.75,3,3,3,3
File,"AppendableOutputStreamTest.java",1,1,1,1,5,1,4,0,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,52,10,22,13,6,20,,,,11,15,10,5,,,,,,1,1,1,1,,,0,,,,0.91,3,3,3,3
File,"AutoCloseInputStream.java",1,1,1,1,11,0,4,7,,,,1,0,0,4,,4,4,0,4,,0,0,2,2,,94,8,25,12,7,61,,,,10,16,9,7,,,,,,2,2,2,1,,,1,,,,2.44,5,5,5,4
File,"AutoCloseInputStreamTest.java",1,1,1,1,9,0,9,0,,,,2,0,0,6,,6,6,3,6,,0,0,0,6,,103,14,70,27,35,19,,,,47,60,28,32,,,,,,3,3,3,1,,,2,,,,0.27,11,11,11,6
File,"BOMInputStream.java",2,2,2,1,15,0,7,8,,,,2,0,1,18,,18,18,8,18,,0,3,0,15,,411,26,157,52,78,228,,,,78,116,49,67,,,,,,7,7,7,4,,,4,,,,1.45,41,41,45,27
File,"BOMInputStreamTest.java",1,1,1,1,10,0,9,0,,,,2,0,0,59,,59,59,1,59,,0,12,0,47,,798,82,655,197,400,62,,,,355,475,150,325,,,,,,3,3,3,3,,,2,,,,0.09,75,75,76,61
File,"BoundedInputStream.java",1,1,1,1,11,0,4,6,,,,1,0,0,14,,14,14,5,14,,0,0,0,14,,231,24,88,39,37,119,,,,38,58,29,29,,,,,,4,4,5,3,,,1,,,,1.35,21,21,24,16
File,"BoundedInputStreamTest.java",2,2,2,1,17,3,13,1,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,89,16,50,17,29,23,,,,40,48,19,29,,,,,,4,4,4,1,,,1,,,,0.46,7,7,7,3
File,"BoundedReader.java",1,1,2,1,14,0,6,7,,,,1,0,1,6,,6,6,5,6,,0,0,0,6,,145,18,53,22,23,75,,,,28,39,18,21,,,,,,4,4,4,3,,,2,,,,1.42,11,11,12,10
File,"BoundedReaderTest.java",1,1,1,1,8,0,8,0,,,,2,0,2,19,,19,19,2,19,,0,1,0,18,,243,27,196,63,106,20,,,,103,142,50,92,,,,,,2,2,2,1,,,2,,,,0.10,22,22,22,19
File,"BrokenInputStream.java",1,1,1,1,8,0,3,5,,,,1,0,0,7,,7,7,1,7,,0,0,0,7,,108,11,32,17,7,65,,,,11,19,12,7,,,,,,1,1,1,1,,,0,,,,2.03,7,7,7,7
File,"BrokenInputStreamTest.java",2,2,2,1,9,0,9,0,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,108,15,74,23,37,19,,,,32,46,16,30,,,,,,4,4,4,1,,,1,,,,0.26,13,13,13,6
File,"BrokenOutputStream.java",1,1,1,1,7,0,3,4,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,85,9,24,13,5,52,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,2.17,5,5,5,5
File,"BrokenOutputStreamTest.java",2,2,2,1,10,0,10,0,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,87,13,55,18,27,19,,,,26,36,14,22,,,,,,4,4,4,1,,,1,,,,0.35,9,9,9,4
File,"ByteArrayOutputStream.java",2,2,2,1,19,0,9,8,,,,1,2,2,17,,17,15,6,17,,0,1,0,16,,420,27,197,67,115,196,,,,102,144,62,82,,,,,,5,5,9,4,,,2,,,,0.99,36,36,40,27
File,"ByteArrayOutputStreamTestCase.java",2,2,2,1,21,2,15,2,,,,1,1,1,8,,8,7,0,8,,0,5,0,3,,223,34,147,51,97,42,,,,105,125,46,79,,,,,,3,3,3,3,,,2,,,,0.29,17,17,17,10
File,"ByteOrderMark.java",2,2,2,1,14,0,8,6,,,,1,0,7,8,,8,8,2,8,,0,0,0,8,,191,19,82,28,46,90,,,,47,67,29,38,,,,,,5,5,5,5,,,2,,,,1.10,18,18,20,12
File,"ByteOrderMarkTestCase.java",1,1,1,1,9,0,8,1,,,,1,0,3,9,,9,9,0,9,,0,0,0,9,,146,17,96,33,54,33,,,,55,69,23,46,,,,,,5,5,5,1,,,1,,,,0.34,13,13,13,9
